As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120397,AF:Agricultural Inputs Project,Project Management,Consultant Services,Quality And Cost-Based Selection,Recipient Executed Activities,1323119,"Agriculture, fishing, and forestry",Consultancy Services for technicak Survey on Inputs Distribu,7/11/2012 0:00,SHAHEEM AGRICULTURAL RESEARCH AND CONS,Afghanistan,AF,"$173,451.00 ",MAIL/IAIDS/PD/CC-002
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120398,AF: On-Farm Water Management (OFWM),"Equipment, Transportation",Goods,National Competitive Bidding,Recipient Executed Activities,1326765,"Agriculture, fishing, and forestry",Procuremnet of Vehicles ( Double Cab Pick ups Nos.9),8/7/2012 0:00,HABIB GULZAR MOTOR LTD,Afghanistan,AF,"$320,548.00 ",MAIL/OFWMP/GD/142
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120398,AF: On-Farm Water Management (OFWM),"Works, Infrastructure",Civil Works,National Competitive Bidding,Recipient Executed Activities,1326768,"Agriculture, fishing, and forestry",Procurment of Works ( In-Situ Concrete/brike lining Dobandi,7/26/2012 0:00,BUILDTECH ENGINEERING CONSTRUCTION PVT,Afghanistan,AF,"$139,946.00 ",MAIL/OFWMP/WR/157
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Medical",Goods,National Competitive Bidding,IBRD/IDA,1322935,"Agriculture, fishing, and forestry","Redomil Gold, TMTD, Microperl 2 , Match IGR and Manual Knaps",7/4/2012 0:00,HUSSAIN ZADA COMPANY LTD,Afghanistan,AF,"$143,124.00 ",MAIL/WB/HLP/CONT - 5782
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120397,AF:Agricultural Inputs Project,Project Management,Consultant Services,Individual,Recipient Executed Activities,1325728,"Agriculture, fishing, and forestry",Production and Market Monitoring Specilsit ( International ),9/16/2012 0:00,HOSSAIN KH. ZAHIR,Bangladesh,BD,"$37,019.00 ",MAIL/WB/HLP/CONTRACT-033
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120397,AF:Agricultural Inputs Project,Project Management,Consultant Services,Individual,Recipient Executed Activities,1325730,"Agriculture, fishing, and forestry",IT Officer,8/10/2012 0:00,FARIDULLAH,Afghanistan,AF,"$4,912.00 ",MAIL/WB/IAIDS/IC/037
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1327128,Information and communications,create a national ICT policy document that defines the strat,10/8/2012 0:00,GRAIL CONSULTING SERVIES,India,IN,"$154,839.00 ",MCIT/GRAIL/QCBS/ICTDP/P121755/ID
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P122235,AF: Irrigation Restoration &Development,"Equipment, Energy Exploration, Productio",Goods,International Competitive Bidding,IBRD/IDA,1328223,"Agriculture, fishing, and forestry",O&M of 56 Meteorological Statons,9/17/2012 0:00,SUTRON CORPORATION,United States,US,"$1,197,788.00 ",MEW/G - 205/O&M
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P122235,AF: Irrigation Restoration &Development,"Equipment, Energy Exploration, Productio",Goods,International Competitive Bidding,IBRD/IDA,1328224,"Agriculture, fishing, and forestry",O& M of 127 Hydrological Stations,9/17/2012 0:00,SUTRON CORPORATION,United States,US,"$2,745,865.00 ",MEW/GH - 102/O&M
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P118053,AF: New Market Development,Project Management,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1325794,Industry and trade,Management of the Facility for New Market Development,9/9/2012 0:00,M/S GIZ IS,Afghanistan,AF,"$5,735,008.00 ",MOCI/1333/LUMPSUM
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P118053,AF: New Market Development,Research/Development Services,Consultant Services,Individual,IBRD/IDA,1327983,Industry and trade,Translator/Interpreter,8/12/2012 0:00,MR. HASHIM SAMIM,Afghanistan,AF,"$49,315.00 ",MOCI/C22
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120427,AF: Public Financial Mgmt. Reform II,Audit Services,Consultant Services,Single Source Selection,Recipient Executed Activities,1327434,"Public Administration, Law, and Justice",Post Quality Audit Review Committee Member,7/28/2012 0:00,HAJE ABDUL GHAFOOR HADI,Afghanistan,AF,"$9,279.00 ",MOF - 400 -IDA
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120427,AF: Public Financial Mgmt. Reform II,Audit Services,Consultant Services,Single Source Selection,Recipient Executed Activities,1327435,"Public Administration, Law, and Justice",Post Quality Audit Review Committee Member,7/28/2012 0:00,AMIR GUL KARIMI,Afghanistan,AF,"$9,279.00 ",MOF - 410 - IAD
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120427,AF: Public Financial Mgmt. Reform II,Audit Services,Consultant Services,Single Source Selection,Recipient Executed Activities,1327439,"Public Administration, Law, and Justice",Post Quality Audit Review Committee Member,7/28/2012 0:00,MIR AZIZULLAH SAHAK,Afghanistan,AF,"$9,279.00 ",MOF - 420 - IAD
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120427,AF: Public Financial Mgmt. Reform II,Audit Services,Consultant Services,Single Source Selection,Recipient Executed Activities,1327437,"Public Administration, Law, and Justice",Post Quality Audit Review Committee Member,7/28/2012 0:00,GULAM HAIDAR KHAN,Afghanistan,AF,"$9,279.00 ",MOF - 430 - IAD
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P089040,AF: Strengthening Higher Educ. Program,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1324811,Education,Consultancy Services as Advisor to the Minister for medical,8/1/2012 0:00,DR. KARIM M. SEDDIQ,Afghanistan,AF,"$55,000.00 ",MOHE/SHEP/XXX2
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P113421,AF: Pension Admin and Safety Net,Legal Advisory Services,Consultant Services,Individual,IBRD/IDA,1325083,"Public Administration, Law, and Justice",Senior Advisor to Deputy Minister Labor Affairs,7/30/2012 0:00,ABRAHIM KHAIRANDESH,Afghanistan,AF,"$75,716.00 ",MOLSAMD/SPP-C-36.2
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1327073,Energy and mining,Junior Archaeologist for Aynak Archeological project,7/23/2012 0:00,RAFAEL A. SEQUEIRA GARZA,Lebanon,LB,"$91,174.00 ",MOM/PMU/94 - 28
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1328174,Energy and mining,Adviser to the H.E Minister of Mines on development of Hydro,9/18/2012 0:00,ABDUL JALIL AHMAD JUMRIANI,Afghanistan,AF,"$158,674.00 ",MOM/PMU/CT - 131
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1326382,Energy and mining,Principle Adviser,8/16/2012 0:00,WEIS SHERDEL,Afghanistan,AF,"$241,176.00 ",MOM/PMU/SDNRP/CT - 118
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,"Equipment, Mining",Goods,International Competitive Bidding,IBRD/IDA,1326703,Energy and mining,Procurement of goods for supply of vehicles,8/1/2012 0:00,HABIB GULZAR MOTOR LTD,Afghanistan,AF,"$416,516.00 ",MOM/PMU/SDNRP/GOODS/II/
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325346,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/3/2012 0:00,ROBERTA MARZIANI,United Kingdom,GB,"$93,274.00 ",MOM-PMU-94-17
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325355,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/3/2012 0:00,ANDREW GINNS,United Kingdom,GB,"$93,274.00 ",MOM-PMU-94-19
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325352,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/3/2012 0:00,RICHARD HUMPHREY,United Kingdom,GB,"$47,737.00 ",MOM-PMU-94-20
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325356,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/3/2012 0:00,DAMIAN PODLINSKI,Poland,PL,"$93,274.00 ",MOM-PMU-94-21
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325351,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/23/2012 0:00,THOMAS ELEY,United Kingdom,GB,"$93,274.00 ",MOM-PMU-94-25
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325357,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/23/2012 0:00,VYDHEGI BRICE,France,FR,"$91,174.00 ",MOM-PMU-94-27
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325354,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/23/2012 0:00,RAFAEL RAFAEL,Mozambique,MZ,"$91,174.00 ",MOM-PMU-94-28
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325347,Energy and mining,Junior Archaeologist for Aynak Archeological Project,7/23/2012 0:00,KONSTANTINA ROMANTZI,Greece,GR,"$91,174.00 ",MOM-PMU-94-29
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327036,"Agriculture, fishing, and forestry",For Consultancy Services as Senior Filed Coordinator for Hig,7/5/2012 0:00,AHMAD KHOSHAL,Afghanistan,AF,"$33,077.00 ",MRRD/NSPIII/CN/680
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328403,"Agriculture, fishing, and forestry","NSPIII Facilitating partner for communities in Tani, MandoZa",11/16/2012 0:00,IRC,Afghanistan,AF,"$4,631,888.00 ",MRR/NSPIII/CN/2ND-RBG-2010/13-IR
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328406,"Agriculture, fishing, and forestry","NSPIII Facilitating partner for communites in Andkhoy, Alish",11/16/2012 0:00,DACAR,Afghanistan,AF,"$4,316,616.00 ",MRRD/NSPIII/2MD-RBG-2012/15-DACA
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327026,"Agriculture, fishing, and forestry",Fo Consultancy Services as Executive Director ( ED ),9/16/2012 0:00,MR. MOHAMMAD TARIQ ISMATI,Afghanistan,AF,"$121,559.00 ",MRRD/NSPIII/CN/0139
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327034,"Agriculture, fishing, and forestry","For Consultancy Services as Head, Monitoring & Evaluation De",7/5/2012 0:00,MR. NASRULLAH AHMADZAI,Afghanistan,AF,"$56,451.00 ",MRRD/NSPIII/CN/180
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327069,"Agriculture, fishing, and forestry",For Consultancy Services as Deputy Director of Operations,7/5/2012 0:00,MR. GHULAM RASOUL WAHID,Afghanistan,AF,"$85,789.00 ",MRRD/NSPIII/CN/200
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328401,"Agriculture, fishing, and forestry","NSP III Facilitating Partner for comunitites in Nahrin, Puli",11/12/2012 0:00,ACTED,Afghanistan,AF,"$6,759,900.00 ",MRRD/NSPIII/CN/2ND-RBG-2010/01-A
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328409,"Agriculture, fishing, and forestry","NSP III Facilitating partner for communities in Darwaz, Jurm",11/16/2012 0:00,AKDN,Afghanistan,AF,"$7,567,712.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/04-A
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328410,"Agriculture, fishing, and forestry",NSPIII facilitating partner for communities in Ahmad Abad an,11/16/2012 0:00,CARE INTERNATIONAL,Afghanistan,AF,"$3,043,064.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/06-C
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328411,"Agriculture, fishing, and forestry",NSPIII facilitatiing partner for communites in Khuja Sabzpos,11/11/2012 0:00,CHA,Afghanistan,AF,"$2,963,218.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/07-C
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328412,"Agriculture, fishing, and forestry",NSPIII facilitating partner for communities in Chal and Nama,11/16/2012 0:00,CONCERN,Afghanistan,AF,"$1,014,460.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/08-C
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328423,"Agriculture, fishing, and forestry",NSPIII Facilitating partner for communities in Qala-e-Now Di,11/16/2012 0:00,NPO/RAA,Afghanistan,AF,"$1,054,500.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/10-N
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328405,"Agriculture, fishing, and forestry","NSPIII facilitating partner for communities in Narang, Sirka",11/16/2012 0:00,MADERA,Afghanistan,AF,"$4,278,892.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/12-M
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328404,"Agriculture, fishing, and forestry","NSPIII Facilitating partner for communities in Chahrnsur, Ch",11/16/2012 0:00,RI,Afghanistan,AF,"$2,786,100.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/16-R
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328407,"Agriculture, fishing, and forestry",NSPIII Facilitating Partner for Communities in Markazi Bihsu,11/16/2012 0:00,SCA,Afghanistan,AF,"$5,580,076.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/17-S
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328426,"Agriculture, fishing, and forestry",NSPIII facilitating partner for communities in Shakar Dara a,11/16/2012 0:00,SDO,Afghanistan,AF,"$1,802,868.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/18-S
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328402,"Agriculture, fishing, and forestry","NSPIII Facilitating Partner for Communities in Kohistant, So",11/16/2012 0:00,ZOA,Afghanistan,AF,"$4,077,872.00 ",MRRD/NSPIII/CN/2ND-RBG-2012/20-Z
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328408,"Agriculture, fishing, and forestry",NSP III Facilitating partner for communities in Dara-e-Suf e,11/12/2012 0:00,BRAC-AFGHANISTAN,Afghanistan,AF,"$543,384.00 ",MRRD/NSPIII/CN/2ND-RBG-2012-05-B
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327043,"Agriculture, fishing, and forestry",For Consultancy Services as Head of Procurment Department,7/5/2012 0:00,MR. NABIULLAH AZIMI,Afghanistan,AF,"$46,309.00 ",MRRD/NSPIII/CN/498
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327619,"Agriculture, fishing, and forestry",Consultancy services as Interantional Individual Consultant,10/19/2012 0:00,BARRY ARMSTRONG,Thailand,TH,"$22,002,000.00 ",MRRD/NSPIII/CN/508
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327028,"Agriculture, fishing, and forestry",For Consultancy Services as Donor Relation Manager for NSP,7/5/2012 0:00,MR. MAMOON KHAWAR,Afghanistan,AF,"$49,023.00 ",MRRD/NSPIII/CN/592
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327027,"Agriculture, fishing, and forestry","For Consultancy Services as Head FP, Management Department",10/14/2012 0:00,MR. SULAIMAN SARWARY,Afghanistan,AF,"$35,304.00 ",MRRD/NSPIII/CN/745
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1325690,"Agriculture, fishing, and forestry",Consultancy Services as Financial managment agent for Nation,7/10/2012 0:00,GIZ INTERNATIONAL SERVICES GMBH,Germany,DE,"$984,007.00 ",MRRD/NSPIII/CN/800
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327030,"Agriculture, fishing, and forestry","For Consultancy Services as Head, Engineering Department",7/5/2012 0:00,MOHAMMAD ASHRAF HEMAT,Afghanistan,AF,"$37,453.00 ",MRRD/NSPIII/CN/IC107
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328427,"Agriculture, fishing, and forestry","NSPIII facilitating partner for commuites in Murdyan Qarqin,",11/16/2012 0:00,ACTION AID,Afghanistan,AF,"$2,591,868.00 ",MRRD/NSPIII/NC/2ND-RBG-2012-02AC
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328424,"Agriculture, fishing, and forestry",NSP III Facilitating Partner for communities in Dehrawud Di,11/16/2012 0:00,AFGHANISTAN NATIONAL RE-CONST. ANCC,Afghanistan,AF,"$1,251,625.00 ",MRRD/NSPIII/NC/2ND-RBG-2012-09-A
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120427,AF: Public Financial Mgmt. Reform II,Financial Services,Consultant Services,Single Source Selection,Recipient Executed Activities,1325621,"Public Administration, Law, and Justice",Financ Officer ARDS,9/5/2012 0:00,SIBGHATULLAH TEMURI,Afghanistan,AF,"$31,849.00 ",ARDS-PU-048
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P087860,AF: Urban Water Sector,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1325359,"Water, sanitation and flood protection",Head of Strategic business Unit (SBU) Heart,7/1/2012 0:00,HAMIDULLAH YELANI,Afghanistan,AF,"$5,799.00 ",AUWSSC/1065-2/IDA/IC
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,"Works, Installation & Erection",Civil Works,International Competitive Bidding,IBRD/IDA,1327149,Information and communications,"Supply, Installation, Operation, Maintenance, and other Mana",10/2/2012 0:00,USTRONICS,United States,US,"$3,379,487.00 ",NC 2.1
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1327140,Information and communications,"Management of the Innovation Support Program as a whole, in",10/8/2012 0:00,AFGHANIS INFORMATION MANAGEMENT (AIMS),Afghanistan,AF,"$9,806.00 ",C2.5 CONSULTANCY SERVICES FOR IN
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327141,Information and communications,provide IT Training to MCIT and other staff at Kabul.,8/10/2012 0:00,KARDAN INSTITUTE OF HIGHER EDUCATION,Afghanistan,AF,"$204,082.00 ",C3.4.1 IT TRAINING
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327142,Information and communications,provide IT Training to MCIT and other staff at Kabul.,8/10/2012 0:00,INFOTECH PRIVATE LIMITED,Pakistan,PK,"$215,054.00 ",C3.4.2 IT TRAINING
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327143,Information and communications,provide IT Training to MCIT and other staff at Kabul.,8/10/2012 0:00,RANA TECHNOLGOIES ENTERPRISES,Afghanistan,AF,"$204,082.00 ",C3.4.3 IT TRAINING
